Year,ID,Realization,NAO Index,NAO Anomaly
1960,r1,1,23.36083984375,-1.645434835682746
1960,r2,2,23.68170166015625,-0.4384659476902186
1960,r3,3,23.89642333984375,-0.7386275581691564
1960,r4,4,23.7691650390625,-0.40874049974524596
1960,r5,5,25.66607666015625,1.3394616168478244
1960,r6,6,22.9034423828125,-1.307442043138586
1960,r7,7,24.75091552734375,0.5937287703804337
1960,r8,8,19.783447265625,-4.123771335767664
1960,r9,9,23.9876708984375,-0.1059663192085587
1960,r10,10,26.09075927734375,0.9183641516644023
1961,r1,1,24.713623046875,-0.29265163255774596
1961,r2,2,24.095458984375,-0.024708623471468627
1961,r3,3,24.7772216796875,0.14217078167459363
1961,r4,4,26.79095458984375,2.613049051036004
1961,r5,5,22.72979736328125,-1.5968176800271756
1961,r6,6,21.51483154296875,-2.696052882982336
1961,r7,7,20.34051513671875,-3.8166716202445663
1961,r8,8,24.93316650390625,1.025947902513586
1961,r9,9,23.6990966796875,-0.3945405379585587
1961,r10,10,23.5872802734375,-1.5851148522418477
1962,r1,1,24.52642822265625,-0.47984645677649596
1962,r2,2,24.11846923828125,-0.001698369565218627
1962,r3,3,24.41424560546875,-0.22080529254415637
1962,r4,4,27.41815185546875,3.240246316661004
1962,r5,5,28.483154296875,4.156539253566574
1962,r6,6,21.6859130859375,-2.524971340013586
1962,r7,7,18.333251953125,-5.823934803838316
1962,r8,8,20.48919677734375,-3.418021824048914
1962,r9,9,25.25067138671875,1.1570341690726913
1962,r10,10,23.58050537109375,-1.5918897545855977
1963,r1,1,26.1351318359375,1.128857156504754
1963,r2,2,23.8739013671875,-0.24626624065896863
1963,r3,3,23.1507568359375,-1.4842940620754064
1963,r4,4,24.89691162109375,0.719006082286004
1963,r5,5,24.7275390625,0.4009240191915744
1963,r6,6,24.9476318359375,0.736747409986414
1963,r7,7,24.5267333984375,0.3695466414741837
1963,r8,8,19.188232421875,-4.718986179517664
1963,r9,9,26.44451904296875,2.3508818253226913
1963,r10,10,24.50030517578125,-0.6720899498980977
1964,r1,1,22.4735107421875,-2.532763937245246
1964,r2,2,19.10528564453125,-5.014881963315219
1964,r3,3,22.54608154296875,-2.0889693550441564
1964,r4,4,22.60748291015625,-1.570422628651496
1964,r5,5,23.12158203125,-1.2050330120584256
1964,r6,6,19.84722900390625,-4.363655422044836
1964,r7,7,14.64691162109375,-9.510275135869566
1964,r8,8,20.56378173828125,-3.343436863111414
1964,r9,9,25.695556640625,1.6019194229789413
1964,r10,10,23.21630859375,-1.9560865319293477
1965,r1,1,25.7220458984375,0.715771219004754
1965,r2,2,24.19012451171875,0.06995690387228137
1965,r3,3,25.19384765625,0.5587967582370936
1965,r4,4,24.784423828125,0.606518289317254
1965,r5,5,22.16259765625,-2.1640173870584256
1965,r6,6,24.2945556640625,0.08367123811141397
1965,r7,7,21.5819091796875,-2.5752775772758163
1965,r8,8,16.5408935546875,-7.366325046705164
1965,r9,9,24.20465087890625,0.1110136612601913
1965,r10,10,25.52435302734375,0.35195790166440233
1966,r1,1,28.8209228515625,3.814648172129754
1966,r2,2,26.01983642578125,1.8996688179347814
1966,r3,3,23.78857421875,-0.8464766792629064
1966,r4,4,24.63916015625,0.46125461744225404
1966,r5,5,22.2288818359375,-2.0977332073709256
1966,r6,6,22.02783203125,-2.183052394701086
1966,r7,7,18.9425048828125,-5.214681874150816
1966,r8,8,26.22918701171875,2.321968410326086
1966,r9,9,26.411865234375,2.3182280167289413
1966,r10,10,26.3792724609375,1.2068773352581523
1967,r1,1,25.2698974609375,0.26362278150475404
1967,r2,2,22.25494384765625,-1.8652237601902186
1967,r3,3,22.5736083984375,-2.0614424995754064
1967,r4,4,22.04400634765625,-2.133899191151496
1967,r5,5,20.89434814453125,-3.4322668987771756
1967,r6,6,26.473388671875,2.262504245923914
1967,r7,7,25.10296630859375,0.9457795516304337
1967,r8,8,25.47808837890625,1.570869777513586
1967,r9,9,20.46502685546875,-3.6286103621773087
1967,r10,10,22.6807861328125,-2.4916089928668477
1968,r1,1,21.39080810546875,-3.615466573963996
1968,r2,2,26.11834716796875,1.9981795601222814
1968,r3,3,24.89862060546875,0.2635697074558436
1968,r4,4,22.26763916015625,-1.910266378651496
1968,r5,5,14.9114990234375,-9.415116019870926
1968,r6,6,24.8076171875,0.596732761548914
1968,r7,7,25.2645263671875,1.1073396102241837
1968,r8,8,28.1109619140625,4.203743312669836
1968,r9,9,23.7952880859375,-0.2983491317085587
1968,r10,10,23.5301513671875,-1.6422437584918477
1969,r1,1,21.61370849609375,-3.392566183338996
1969,r2,2,23.87286376953125,-0.24730383831521863
1969,r3,3,25.253662109375,0.6186112113620936
1969,r4,4,23.37078857421875,-0.807116964588996
1969,r5,5,20.0814208984375,-4.245194144870926
1969,r6,6,23.62164306640625,-0.589241359544836
1969,r7,7,29.0828857421875,4.925698985224184
1969,r8,8,22.80609130859375,-1.101127292798914
1969,r9,9,25.69183349609375,1.5981962784476913
1969,r10,10,24.25592041015625,-0.9164747155230977
1970,r1,1,23.7171630859375,-1.289111593495246
1970,r2,2,24.64959716796875,0.5294295601222814
1970,r3,3,29.6495361328125,5.014485234799594
1970,r4,4,24.2420654296875,0.06415989087975404
1970,r5,5,22.810546875,-1.5160681683084256
1970,r6,6,23.06683349609375,-1.144050929857336
1970,r7,7,25.02825927734375,0.8710725203804337
1970,r8,8,19.872802734375,-4.034415867017664
1970,r9,9,16.82855224609375,-7.265084971552309
1970,r10,10,24.517578125,-0.6548170006793477
1971,r1,1,22.7359619140625,-2.270312765370246
1971,r2,2,17.27911376953125,-6.841053838315219
1971,r3,3,19.87744140625,-4.757609491762906
1971,r4,4,20.3271484375,-3.850757101307746
1971,r5,5,23.8741455078125,-0.4524695354959256
1971,r6,6,23.10540771484375,-1.105476711107336
1971,r7,7,24.59088134765625,0.4336945906929337
1971,r8,8,24.15692138671875,0.24970278532608603
1971,r9,9,23.48931884765625,-0.6043183699898087
1971,r10,10,24.593017578125,-0.5793775475543477
1972,r1,1,26.3243408203125,1.318066140879754
1972,r2,2,25.03851318359375,0.9183455757472814
1972,r3,3,26.863037109375,2.2279862113620936
1972,r4,4,27.64971923828125,3.471813699473504
1972,r5,5,23.11700439453125,-1.2096106487771756
1972,r6,6,25.03118896484375,0.820304538892664
1972,r7,7,27.3768310546875,3.2196442977241837
1972,r8,8,24.36785888671875,0.46064028532608603
1972,r9,9,24.06231689453125,-0.0313203231148087
1972,r10,10,26.77587890625,1.6034837805706523
1973,r1,1,23.1807861328125,-1.825488546620246
1973,r2,2,25.2890625,1.1688948921535314
1973,r3,3,20.1800537109375,-4.454997187075406
1973,r4,4,25.86590576171875,1.688000222911004
1973,r5,5,27.70477294921875,3.3781579059103244
1973,r6,6,23.58050537109375,-0.630379054857336
1973,r7,7,25.23516845703125,1.0779817000679337
1973,r8,8,25.4090576171875,1.501839015794836
1973,r9,9,26.478515625,2.3848784073539413
1973,r10,10,20.71795654296875,-4.454438582710598
1974,r1,1,23.2132568359375,-1.793017843495246
1974,r2,2,22.4749755859375,-1.6451920219089686
1974,r3,3,22.89093017578125,-1.7441207222316564
1974,r4,4,23.740478515625,-0.43742702318274596
1974,r5,5,27.9913330078125,3.6647179645040744
1974,r6,6,24.97711181640625,0.766227390455164
1974,r7,7,14.20556640625,-9.951620350713316
1974,r8,8,20.93548583984375,-2.971732761548914
1974,r9,9,22.71710205078125,-1.3765351668648087
1974,r10,10,27.880126953125,2.7077318274456523
1975,r1,1,22.57958984375,-2.426684835682746
1975,r2,2,26.09442138671875,1.9742537788722814
1975,r3,3,23.4517822265625,-1.1832686714504064
1975,r4,4,23.59075927734375,-0.587146261463996
1975,r5,5,22.1182861328125,-2.2083289104959256
1975,r6,6,26.06854248046875,1.857658054517664
1975,r7,7,19.54296875,-4.614218006963316
1975,r8,8,24.9376220703125,1.030403468919836
1975,r9,9,21.06494140625,-3.0286958113960587
1975,r10,10,25.96826171875,0.7958665930706523
1976,r1,1,22.83154296875,-2.174731710682746
1976,r2,2,27.52044677734375,3.4002791694972814
1976,r3,3,24.96014404296875,0.3250931449558436
1976,r4,4,22.542236328125,-1.635669210682746
1976,r5,5,27.41888427734375,3.0922692340353244
1976,r6,6,25.2496337890625,1.038749363111414
1976,r7,7,24.33740234375,0.1802155867866837
1976,r8,8,22.16595458984375,-1.741264011548914
1976,r9,9,28.702392578125,4.608755360478941
1976,r10,10,23.3319091796875,-1.8404859459918477
1977,r1,1,26.05364990234375,1.047375222911004
1977,r2,2,23.959228515625,-0.16093909222146863
1977,r3,3,23.60333251953125,-1.0317183784816564
1977,r4,4,21.84210205078125,-2.335803488026496
1977,r5,5,26.3568115234375,2.0301964801290744
1977,r6,6,21.4576416015625,-2.753242824388586
1977,r7,7,26.787841796875,2.6306550399116837
1977,r8,8,24.79754638671875,0.890327785326086
1977,r9,9,23.657470703125,-0.4361665145210587
1977,r10,10,21.5384521484375,-3.6339429772418477
1978,r1,1,25.56610107421875,0.559826394786004
1978,r2,2,23.9638671875,-0.15630042034646863
1978,r3,3,25.3035888671875,0.6685379691745936
1978,r4,4,25.33221435546875,1.154308816661004
1978,r5,5,26.3443603515625,2.0177453082540744
1978,r6,6,25.5888671875,1.377982761548914
1978,r7,7,25.37030029296875,1.2131135360054337
1978,r8,8,26.50836181640625,2.601143215013586
1978,r9,9,20.18109130859375,-3.9125459090523087
1978,r10,10,22.2965087890625,-2.8758863366168477
1979,r1,1,25.6553955078125,0.649120828379754
1979,r2,2,25.0531005859375,0.9329329780910314
1979,r3,3,22.60821533203125,-2.0268355659816564
1979,r4,4,23.79638671875,-0.38151882005774596
1979,r5,5,24.86529541015625,0.5386803668478244
1979,r6,6,23.95184326171875,-0.25904116423233603
1979,r7,7,21.8436279296875,-2.3135588272758163
1979,r8,8,26.818603515625,2.911384914232336
1979,r9,9,24.864013671875,0.7703764542289413
1979,r10,10,26.1146240234375,0.9422288977581523
1980,r1,1,26.97100830078125,1.964733621348504
1980,r2,2,22.039306640625,-2.0808609672214686
1980,r3,3,28.484619140625,3.8495682426120936
1980,r4,4,25.576904296875,1.398998758067254
1980,r5,5,21.73980712890625,-2.5868079144021756
1980,r6,6,23.70318603515625,-0.507698390794836
1980,r7,7,24.36474609375,0.2075593367866837
1980,r8,8,22.49530029296875,-1.411918308423914
1980,r9,9,25.69195556640625,1.5983183487601913
1980,r10,10,25.2935791015625,0.12118397588315233
1981,r1,1,20.6463623046875,-4.359912374745246
1981,r2,2,21.64678955078125,-2.4733780570652186
1981,r3,3,21.19384765625,-3.4412032417629064
1981,r4,4,22.0225830078125,-2.155322530995246
1981,r5,5,24.92047119140625,0.5938561480978244
1981,r6,6,21.57562255859375,-2.635261867357336
1981,r7,7,21.5601806640625,-2.5970060929008163
1981,r8,8,23.59002685546875,-0.31719174592391397
1981,r9,9,28.4892578125,4.395620594853941
1981,r10,10,24.8062744140625,-0.36612071161684767
1982,r1,1,22.10845947265625,-2.897815206776496
1982,r2,2,24.26239013671875,0.14222252887228137
1982,r3,3,26.58966064453125,1.9546097465183436
1982,r4,4,27.65740966796875,3.479504129161004
1982,r5,5,23.28045654296875,-1.0461585003396756
