Year,ID,Realization,NAO Index,NAO Anomaly
1961,r1,1,9.69610595703125,-2.6454578746448867
1961,r2,2,10.01788330078125,-2.932042100694444
1961,r3,3,16.40484619140625,3.6182617187500004
1961,r4,4,13.22955322265625,0.047519259982639284
1961,r5,5,12.0687255859375,-1.3142388237847218
1961,r6,6,8.65728759765625,-3.8659790039062507
1961,r7,7,12.80743408203125,0.4586574978298614
1961,r8,8,14.45843505859375,1.4129652235243064
1961,r9,9,10.79595947265625,-1.1934475368923607
1961,r10,10,10.47821044921875,-2.253824407404119
1962,r1,1,12.12738037109375,-0.2141834605823867
1962,r2,2,13.17352294921875,0.22359754774305607
1962,r3,3,11.35125732421875,-1.4353271484374996
1962,r4,4,11.273681640625,-1.9083523220486107
1962,r5,5,14.57275390625,1.1897894965277782
1962,r6,6,12.7388916015625,0.2156249999999993
1962,r7,7,12.2762451171875,-0.07253146701388857
1962,r8,8,10.66278076171875,-2.3826890733506936
1962,r9,9,12.44573974609375,0.4563327365451393
1962,r10,10,14.41845703125,1.6864221746271308
1963,r1,1,10.736083984375,-1.6054798473011367
1963,r2,2,12.000244140625,-0.9496812608506939
1963,r3,3,13.87908935546875,1.0925048828125004
1963,r4,4,12.59869384765625,-0.5833401150173607
1963,r5,5,10.371337890625,-3.011626519097222
1963,r6,6,12.41815185546875,-0.10511474609375071
1963,r7,7,10.4373779296875,-1.9113986545138886
1963,r8,8,13.65435791015625,0.6088880750868064
1963,r9,9,8.79351806640625,-3.1958889431423607
1963,r10,10,12.148193359375,-0.5838414972478692
1964,r1,1,6.6094970703125,-5.732066761363637
1964,r2,2,13.08306884765625,0.13314344618055607
1964,r3,3,12.091064453125,-0.6955200195312496
1964,r4,4,16.4647216796875,3.2826877170138893
1964,r5,5,17.01458740234375,3.631622992621528
1964,r6,6,11.36492919921875,-1.1583374023437507
1964,r7,7,11.85943603515625,-0.4893405490451386
1964,r8,8,12.93365478515625,-0.11181504991319358
1964,r9,9,12.4603271484375,0.4709201388888893
1964,r10,10,12.90155029296875,0.16951543634588084
1965,r1,1,10.080322265625,-2.2612415660511367
1965,r2,2,16.45574951171875,3.505824110243056
1965,r3,3,8.525390625,-4.26119384765625
1965,r4,4,14.26861572265625,1.0865817599826393
1965,r5,5,8.38018798828125,-5.002776421440972
1965,r6,6,10.81268310546875,-1.7105834960937507
1965,r7,7,9.51312255859375,-2.8356540256076386
1965,r8,8,11.43865966796875,-1.6068101671006936
1965,r9,9,14.66162109375,2.6722140842013893
1965,r10,10,16.96112060546875,4.229085748845881
1966,r1,1,10.896484375,-1.4450794566761367
1966,r2,2,16.31353759765625,3.363612196180556
1966,r3,3,11.78289794921875,-1.0036865234374996
1966,r4,4,9.73309326171875,-3.4489407009548607
1966,r5,5,15.41424560546875,2.031281195746528
1966,r6,6,12.03753662109375,-0.4857299804687507
1966,r7,7,7.5396728515625,-4.809103732638889
1966,r8,8,8.5196533203125,-4.525816514756944
1966,r9,9,14.60675048828125,2.6173434787326393
1966,r10,10,12.22467041015625,-0.5073644464666192
1967,r1,1,9.549560546875,-2.7920032848011367
1967,r2,2,10.40252685546875,-2.547398546006944
1967,r3,3,8.7889404296875,-3.9976440429687496
1967,r4,4,10.7728271484375,-2.4092068142361107
1967,r5,5,11.58050537109375,-1.8024590386284718
1967,r6,6,15.73651123046875,3.2132446289062493
1967,r7,7,12.377197265625,0.028420681423611427
1967,r8,8,15.54217529296875,2.4967054578993064
1967,r9,9,7.70550537109375,-4.283901638454861
1967,r10,10,13.7896728515625,1.0576379949396308
1968,r2,2,11.1959228515625,-1.754002549913194
1968,r3,3,11.65606689453125,-1.1305175781249996
1968,r4,4,9.31402587890625,-3.8680080837673607
1968,r5,5,8.7569580078125,-4.626006401909722
1968,r6,6,14.47186279296875,1.9485961914062493
1968,r7,7,10.719970703125,-1.6288058810763886
1968,r8,8,13.7841796875,0.7387098524305564
1968,r9,9,12.3507080078125,0.3613009982638893
1969,r1,1,6.48345947265625,-5.858104359019887
1969,r2,2,16.80670166015625,3.856776258680556
1969,r3,3,10.9005126953125,-1.8860717773437496
1969,r4,4,6.36529541015625,-6.816738552517361
1969,r5,5,15.6566162109375,2.273651801215278
1969,r6,6,10.610595703125,-1.9126708984375007
1969,r7,7,12.79180908203125,0.4430324978298614
1969,r8,8,11.7193603515625,-1.3261094835069436
1969,r9,9,12.1744384765625,0.18503146701388928
1969,r10,10,13.97247314453125,1.2404382879083808
1970,r1,1,14.052978515625,1.7114146839488633
1970,r2,2,17.66259765625,4.712672254774306
1970,r3,3,15.0546875,2.2681030273437504
1970,r4,4,11.63824462890625,-1.5437893337673607
1970,r5,5,15.4080810546875,2.025116644965278
1970,r6,6,8.6837158203125,-3.8395507812500007
1970,r7,7,6.68719482421875,-5.661581759982639
1970,r8,8,12.271728515625,-0.7737413194444436
1970,r9,9,9.489501953125,-2.4999050564236107
1970,r10,10,10.353271484375,-2.378763372247869
1971,r1,1,13.97509765625,1.6335338245738633
1971,r2,2,10.74365234375,-2.206273057725694
1971,r3,3,9.929443359375,-2.8571411132812496
1971,r4,4,14.66119384765625,1.4791598849826393
1971,r5,5,12.31329345703125,-1.0696709526909718
1971,r6,6,12.89508056640625,0.3718139648437493
1971,r7,7,9.7919921875,-2.5567843967013886
1971,r8,8,10.8548583984375,-2.1906114366319436
1971,r9,9,12.44268798828125,0.4532809787326393
1971,r10,10,13.6766357421875,0.9446008855646308
1972,r1,1,12.9937744140625,0.6522105823863633
1972,r2,2,5.9620361328125,-6.987889268663194
1972,r3,3,10.2501220703125,-2.5364624023437496
1972,r4,4,13.775634765625,0.5936008029513893
1972,r5,5,9.2423095703125,-4.140654839409722
1972,r6,6,7.67279052734375,-4.850476074218751
1972,r7,7,10.349609375,-1.9991672092013886
1972,r8,8,10.39984130859375,-2.6456285264756936
1972,r9,9,5.67767333984375,-6.311733669704861
1972,r10,10,12.05950927734375,-0.6725255792791192
1973,r1,1,12.35595703125,0.014393199573863313
1973,r2,2,10.7752685546875,-2.174656846788194
