Year,ID,Realization,NAO Index,NAO Anomaly
1960,r1,1,20.28662109375,0.6532738727071994
1960,r2,2,22.27960205078125,2.0142928413722814
1960,r3,3,22.0467529296875,2.013969089673914
1960,r4,4,21.42401123046875,1.2213837996773087
1960,r5,5,17.26788330078125,-2.7615223760190233
1960,r6,6,21.9532470703125,1.619476318359375
1960,r7,7,17.33984375,-2.9076073688009494
1960,r8,8,13.647705078125,-6.140334419582199
1960,r9,9,21.87152099609375,1.379486083984375
1960,r10,10,24.418701171875,3.8877934994904884
1961,r1,1,18.42584228515625,-1.2075049358865506
1961,r2,2,22.06787109375,1.8025618843410314
1961,r3,3,19.552490234375,-0.48029360563858603
1961,r4,4,22.4912109375,2.2885835067085587
1961,r5,5,18.8824462890625,-1.1469593877377733
1961,r6,6,19.92950439453125,-0.404266357421875
1961,r7,7,20.5784912109375,0.3310400921365506
1961,r8,8,21.28997802734375,1.5019385296365506
1961,r9,9,21.90911865234375,1.417083740234375
1961,r10,10,22.26861572265625,1.7377080502717384
1962,r1,1,23.47601318359375,3.8426659625509494
1962,r2,2,19.15069580078125,-1.1146134086277186
1962,r3,3,16.9366455078125,-3.096138332201086
1962,r4,4,17.74847412109375,-2.4541533096976913
1962,r5,5,16.80023193359375,-3.2291737432065233
1962,r6,6,20.22491455078125,-0.108856201171875
1962,r7,7,22.62554931640625,2.3780981976053006
1962,r8,8,17.29693603515625,-2.4911034625509494
1962,r9,9,14.4984130859375,-5.993621826171875
1962,r10,10,21.29412841796875,0.7632207455842384
1963,r1,1,20.631103515625,0.9977562945821994
1963,r2,2,18.4493408203125,-1.8159683890964686
1963,r3,3,21.13739013671875,1.104606296705164
1963,r4,4,22.91864013671875,2.7160127059273087
1963,r5,5,19.861083984375,-0.16832169242527328
1963,r6,6,22.66693115234375,2.333160400390625
1963,r7,7,20.735107421875,0.4876563030740506
1963,r8,8,21.12493896484375,1.3368994671365506
1963,r9,9,22.09918212890625,1.607147216796875
1963,r10,10,17.48394775390625,-3.0469599184782616
1964,r1,1,19.88055419921875,0.2472069781759494
1964,r2,2,21.90081787109375,1.6355086616847814
1964,r3,3,20.65252685546875,0.619743015455164
1964,r4,4,19.02679443359375,-1.1758329971976913
1964,r5,5,16.9893798828125,-3.0400257939877733
1964,r6,6,22.27789306640625,1.944122314453125
